,Class #,Subject,Cat#,Sect#,Course Name,Crdt,Hrs,Instructor,Enr Cap,Days,Time Start,Time End,Room #,Zoom Links
,,,,,BUSINESS,,,,,,,,,
,17020,ACCT,110,600,Financial Acct,3,3,Alfadli ,30,MWF,9:00 AM,9:55 AM,,
,17021,ACCT,110,601,Financial Acct,3,3,Alfadli ,30,MWF,11:10 AM,12:05 PM,,
2,16826,ACCT,210,600,Management Accounting,3,3,Alfadli ,30,MW,2:35 PM,3:55 PM,,
,16941,ACCT,210,601,Management Accounting,3,3,Alfadli ,30,MW,4:05 PM,5:25 PM,,
3,16968,DECS,310,600,Operations Management,3,3,Klincar,30,TR,9:00 AM,10:20 AM,,
3,16882,DECS,310,601,Operations Management,3,3,Klincar,30,MW,1:05 PM,2:25 PM,,
,17026,DECS,350,600,Project Management,3,3,Klincar,30,TR,10:30 AM,11:50 AM,,
2,16886,FINC,220,600,Financial Management I,3,3,Maydybura,30,TR,9:00 AM,10:20 AM,,
2,16671,FINC,220,601,Financial Management I,3,3,Maydybura,30,MW,1:05 PM,2:25 PM,,
,16859,FINC,352,600,Financial Management II,3,3,Maydybura,30,TR,10:30 AM,11:50 AM,,
,16918,FINC,361,600,Financial Institutions and Markets,3,3,Maydybura,30,MW,2:35 PM,3:55 PM,,
,16810,FINC,499,600,Finance Coop,0,0,Maydybura,50,TBD,TBD,TBD,,
"2,GE",16833,INTB,225,600,Global Business Environment,3,3,Tahir,30,MW,1:05 PM,2:25 PM,,
,16969,INTB,225,601,Global Business Environment,3,3,Tahir,30,TR,3:00 PM,4:20 PM,,
,16673,INTB,499,600,Intl Business Coop,0,0,Tahir,100,TBD,TBD,TBD,,
,16888,INTB,315,600,Exporting and Global Sourcing,3,3,Tahir,30,MWF,11:10 AM,12:05 PM,,
INTB/MGMT,16674,INTB,550,600,Global Entry and Competitive Strat,3,3,Tahir,30,TR,12:00 PM,1:20 PM,,
2,16919,MGIS,130,600,Information Systems & Tech,3,3,Al Hussaeni,30,TBD,TBD,TBD,,
,16919,MGIS ,130,601,Information Systems & Tech,3,3,Al Hussaeni,30,TBD,TBD,TBD,,
,17065,SCBI,35,601,Careers in Business,0,1,Hariri,24,TBD,TBD,TBD,,
1,16680,MGMT,101,600,Business I,3,3,Koleva,30,TR,10:30 AM,11:50 AM,,
1,16681,MGMT,101,601,Business I,3,3,Koleva,30,TR,1:30 PM,2:50 PM,,
,16875,MGMT,101,602,Business I,3,3,Klincar,30,MWF,9:00 AM,9:55 AM,,
,16986,MGMT,101,603,Business I,3,3,Klincar,30,MWF,10:05 AM,11:00 AM,,
2,16896,MGMT,215,600,Organizational Behavior,3,3,Kokkalis,30,TR,9:00 AM,9:55 AM,,
2,16841,MGMT,215,601,Organizational Behavior,3,3,Kokkalis,30,TR,1:30 PM,2:50 PM,,
,17057,MGMT,350,600,Entrepreneurship,3,3,Koleva,30,MW,4:05 PM,5:25 PM,,
,16685,MGMT,310,600,Leading Cross Cultural Virtual Teams,3,3,Koleva,30,MW,2:35 PM,3:55 PM,,
,16689,MGMT,499,600,Management Coop,0,N/A,Kokkalis,999,TR,3:00 PM,4:20 PM,,
,17525,MGMT,489,600,Seminar in Management,3,3,Kokkalis/Shakhseer,30,TBD,TBD,TBD,,
"2, DigBus",16897,MKTG,230,600,Principles of Marketing,3,3,TBD,30,TR,12:00 PM,1:20 PM,,
"2, DigBus",16691,MKTG,230,601,Principles of Marketing,3,3,TBD,30,TR,3:00 PM,4:20 PM,,
,16954,MKTG,350,600,Consumer Behavior,3,3,TBD,30,MWF,11:10 AM,12:05 PM,,
,16692,MKTG,499,600,Marketing Coop,0,0,TBD,998,TBD,TBD,TBD,,
,,,,,ENGINEERING,,,,,,,,,
,16739,EGEN,99,600,Engineering Coop Prep,0,1,Hariri,24,,,,,
,,,,,ELECTRICAL ENGINEERING,,,,,,,,,
"2,GE",16867,CMPR,271,601,Computational Prob Slv for Engnr,3,3,Abdul-Latif,28,TR,9:00 AM,10:20 AM,,
1,16698,EEEE,105,600,EE Practicum,1,1,Amer,20,M,9:00 AM,9:55 AM,,
,16700,"""","""",60L1,EE Practicum Lab,,1,Amer/Begum,10,W,9:00 AM,9:55 AM,,
,16702,"""","""",60L2,EE Practicum Lab,,1,Amer/Begum,10,F,9:00 AM,9:55 AM,,
2/ME/IE PE,16703,EEEE,281,600,Circuits I,3,3,Tlili,20,TR,1:30 PM,2:50 PM,,
,16703,"""","""","""",Circuits I Recitation,,1,Tlili,20,W,9:00 AM,9:55 AM,,
,16704,"""","""",60L1,Circuits I Lab,,3,Begum,15,T,10:30 AM,1:20 PM,,
,16705,"""","""",60L2,Circuits I Lab,,3,Begum,15,T,3:00 PM,5:50 PM,,
3,17507,EEEE,260,600,Semi Dev I,3,3,Tlili,30,TR,10:30 AM,11:50 AM,,
Energy/EE PE,16706,EEEE,321,600,Energy Conversion,3,3,TBD,30,TR,4:30 PM,5:50 PM,,
3/IE PE,16707,EEEE,353,600,Linear Systems,4,4,Ismail,30,TR,12:00 PM,1:50 PM,,
,16707,"""","""","""","""","""","""",Ismail,30,R,1:55 PM,2:50 PM,,
04-Mar,16708,EEEE,374,600,EM Fields,4,4,Tlili,30,MW,10:05 AM,11:55 AM,,
,16710,"""","""",60L1,EM Fields Lab,,2,Begum,15,F,10:05 AM,11:55 AM,,
4,16715,EEEE,414,600,Classical Control,3,3,Ismail,30,TR,3:00 PM,4:20 PM,,
,16717,"""","""",60L1,Classical Control Lab,,3,Begum,15,R,12:00 PM,2:50 PM,,
4,16723,EEEE,420,600,Embedded System Design,3,3,Mounsef,30,MW,1:05 PM,2:25 PM,,
,16724,"""","""",60L2,ESD Lab,,2,Begum,15,W,10:05 AM,11:55 AM,,
4,16725,EEEE,480,600,Analog Electronics,4,4,Mounsef,30,MW,4:05 PM,5:55 PM,,
,16726,"""","""",60L1,Analog Electronics Lab,,3,Begum,15,M,9:00 AM,11:50 AM,,
5,16711,EEEE,380,600,Digital Electronics,3,3,Mounsef,30,TR,1:30 PM,2:50 PM,,
,16713,"""","""",60L1,Digital Electronics Lab,,3,Begum,15,W,2:35 PM,5:25 PM,,
5,16727,EEEE,484,600,Communication Systems,3,3,Amer,30,MW,1:05 PM,2:25 PM,,
,16728,"""","""",60L1,Comm Lab,,2,Begum,15,R,9:00 AM,10:50 AM,,
5,16805,EEEE,497,600,Senior Design I,3,3,Osama Abdulrahman,15,TR,4:30 AM,5:50 PM,,
5,16851,EEEE,498,600,Senior Design II,3,3,Osama Abdulrahman,15,TR,4:30 AM,5:50 PM,,
,16729,EEEE,499,600,Coop,0,N/A,Amer,999,N/A,N/A,N/A,,
,16730,EEEE,499,601,Coop,0,N/A,Ismail,999,N/A,N/A,N/A,,
,16731,EEEE,499,602,Coop,0,N/A,Tlili,999,N/A,N/A,N/A,,
,16732,EEEE,499,603,Coop,0,N/A,Mounsef,999,N/A,N/A,N/A,,
Energy/EE PE,16972,EEEE,524,600,Advances in Power Systems,3,3,Ismail,15,R,6:00 PM,8:50 PM,,
EE PE,16861,EEEE,547,600,AI Explorations,3,3,Mounsef,30,W,6:00 PM,8:50 PM,,
,,,,,MS ELECTRICAL ENGINEERING,,,,,,,,,
EE PE,16862,EEEE,647,600,AI Explorations,3,3,Mounsef,30,W,6:00 PM,8:50 PM,,
,16973,EEEE,624,600,Advances in Power Systems,3,3,Ismail,15,R,6:00 PM,8:50 PM,,
Cntr/EE PE,16883,EEEE,661,600,Modern Control Theory,3,3,Ismail,30,T,6:00 PM,8:50 PM,,
Core,16809,EEEE,707,600,Engineering Analysis,3,3,Tlili,15,M,6:00 PM,8:50 PM,,
,16733,EEEE,790,600,Thesis,0-6,N/A,Amer,32,N/A,N/A,N/A,,
,16734,EEEE,790,601,Thesis,0-6,N/A,Ismail,32,N/A,N/A,N/A,,
,16735,EEEE,790,602,Thesis,0-6,N/A,Mounsef,32,N/A,N/A,N/A,,
,16978,EEEE,791,600,Continuation of Thesis,1,N/A,Ismail,1,N/A,N/A,N/A,,
,16736,EEEE,792,600,Graduate Paper,0-3,N/A,Amer,32,N/A,N/A,N/A,,
,16737,EEEE,792,601,Graduate Paper,0-3,N/A,Ismail,32,N/A,N/A,N/A,,
,16738,EEEE,792,602,Graduate Paper,0-3,N/A,Tlili,32,N/A,N/A,N/A,,
,17062,EEEE,792,603,Graduate Paper,0-3,N/A,Tlili,32,N/A,N/A,N/A,,
,,,,,INDUSTRIAL ENGINEERING,,,,,,,,,
,16740,ISEE,120,600,Fund of Industrial Engineering,3,3,Weraikat,30,MWF,9:00 AM,9:55 AM,,
,17037,ISEE,140,600,Materials Processing,3,1,Imran,30,M,10:05 AM,11:00 AM,,
